"species","element","c"
"O","O",1
"O1D","O",1
"O2","O",2
"O3","O",3
"H","H",1
"H2","H",2
"H2O","H",2
"H2O","O",1
"H2O2","H",2
"H2O2","O",2
"OH","O",1
"OH","H",1
"HO2","H",1
"HO2","O",2
"N2","N",2
"CO2","C",1
"CO2","O",2
"CO","C",1
"CO","O",1
"H2CO","H",2
"H2CO","C",1
"H2CO","O",1
"CH4","C",1
"CH4","H",4
"1CH2","C",1
"1CH2","H",2
"H3CO","H",3
"H3CO","C",1
"H3CO","O",1
"HCO","H",1
"HCO","C",1
"HCO","O",1
"N2O","N",2
"N2O","O",1
"CH3","C",1
"CH3","H",3
"N","N",1
"NO","N",1
"NO","O",1
"NO2","N",1
"NO2","O",2
"CH3OOH","C",1
"CH3OOH","O",2
"CH3OOH","H",4
"HNO3","H",1
"HNO3","N",1
"HNO3","O",3
"HNO2","H",1
"HNO2","N",1
"HNO2","O",2
"HO2NO2","H",1
"HO2NO2","N",1
"HO2NO2","O",4
"HOCl","H",1
"HOCl","O",1
"HOCl","Cl",1
"Cl2","Cl",2
"ClO2","Cl",1
"ClO2","O",2
"Cl2O2","Cl",2
"Cl2O2","O",2
"ClO","Cl",1
"ClO","O",1
"HCl","H",1
"HCl","Cl",1
"NO3","N",1
"NO3","O",3
"3CH2","C",1
"3CH2","H",2
"S","S",1
"S2","S",2
"SO","S",1
"SO","O",1
"CH3O2","C",1
"CH3O2","H",3
"CH3O2","O",2
"Cl","Cl",1
"CH3Cl","C",1
"CH3Cl","H",3
"CH3Cl","Cl",1
"NOCl","N",1
"NOCl","O",1
"NOCl","Cl",1
"H2S","H",2
"H2S","S",1
"SO2","S",1
"SO2","O",2
"SO3","S",1
"SO3","O",3
"N2O5","N",2
"N2O5","O",5
"HS","H",1
"HS","S",1
"HSO3","H",1
"HSO3","S",1
"HSO3","O",3
"H2SO4","H",2
"H2SO4","S",1
"H2SO4","O",4
"ClONO2","Cl",1
"ClONO2","O",3
"ClONO2","N",1
"ClONO","Cl",1
"ClONO","O",2
"ClONO","N",1
"HSO","H",1
"HSO","S",1
"HSO","O",1
"1SO2","S",1
"1SO2","O",2
"3SO2","S",1
"3SO2","O",2
"C","C",1
"S3","S",3
"S4","S",4
"S8_AER","S",8
"CH3O","C",1
"CH3O","H",3
"CH3O","O",1
"C2H4OH","C",2
"C2H4OH","O",1
"C2H4OH","H",5
"C2H2OH","C",2
"C2H2OH","H",3
"C2H2OH","O",1
"HCAER","H",1
"HCAER","C",1
"C2H5","C",2
"C2H5","H",5
"C2H6","C",2
"C2H6","H",6
"C2H4","C",2
"C2H4","H",4
"C2H3","C",2
"C2H3","H",3
"C3H2","C",3
"C3H2","H",2
"C3H3","C",3
"C3H3","H",3
"C3H6","C",3
"C3H6","H",6
"C3H7","C",3
"C3H7","H",7
"CH3CO","C",2
"CH3CO","H",3
"CH3CO","O",1
"C3H5","C",3
"C3H5","H",5
"CH2CCH2","C",3
"CH2CCH2","H",4
"CH3CHO","C",2
"CH3CHO","H",4
"CH3CHO","O",1
"N2H3","N",2
"N2H3","H",3
"C3H8","C",3
"C3H8","H",8
"HNO","H",1
"HNO","N",1
"HNO","O",1
"CH","C",1
"CH","H",1
"NH3","N",1
"NH3","H",3
"NH","N",1
"NH","H",1
"NH2","N",1
"NH2","H",2
"N2H4","N",2
"N2H4","H",4
"NH2s","N",1
"NH2s","H",2
"CH2CO","C",2
"CH2CO","H",2
"CH2CO","O",1
"CH3C2H","C",3
"CH3C2H","H",4
"C2H5CHO","C",3
"C2H5CHO","H",6
"C2H5CHO","O",1
"C2","C",2
"C2H","C",2
"C2H","H",1
"C2H2","C",2
"C2H2","H",2
